date;home_team;away_team;home_score;away_score;League
20.04.2024;Hellas Verona;Udinese;1;0;Serie A
21.04.2024;Sassuolo;Lecce;0;3;Serie A
21.04.2024;Torino;Frosinone;0;0;Serie A
21.04.2024;Salernitana;Fiorentina;0;2;Serie A
21.04.2024;Monza;Atalanta;1;2;Serie A
22.04.2024;Roma;Bologna;1;3;Serie A
22.04.2024;Milan;Inter;1;2;Serie A
12.04.2024;Lazio;Salernitana;4;1;Serie A
13.04.2024;Lecce;Empoli;1;0;Serie A
13.04.2024;Torino;Juventus;0;0;Serie A
13.04.2024;Bologna;Monza;0;0;Serie A
14.04.2024;Napoli;Frosinone;2;2;Serie A
14.04.2024;Sassuolo;Milan;3;3;Serie A
14.04.2024;Inter;Cagliari;2;2;Serie A
15.04.2024;Fiorentina;Genoa;1;1;Serie A
15.04.2024;Atalanta;Hellas Verona;2;2;Serie A
25.04.2024;Udinese;Roma;1;2;Serie A
05.04.2024;Salernitana;Sassuolo;2;2;Serie A
06.04.2024;Milan;Lecce;3;0;Serie A
06.04.2024;Roma;Lazio;1;0;Serie A
06.04.2024;Empoli;Torino;3;2;Serie A
07.04.2024;Frosinone;Bologna;0;0;Serie A
07.04.2024;Monza;Napoli;2;4;Serie A
07.04.2024;Cagliari;Atalanta;2;1;Serie A
07.04.2024;Hellas Verona;Genoa;1;2;Serie A
07.04.2024;Juventus;Fiorentina;1;0;Serie A
08.04.2024;Udinese;Inter;1;2;Serie A
30.03.2024;Napoli;Atalanta;0;3;Serie A
30.03.2024;Genoa;Frosinone;1;1;Serie A
30.03.2024;Torino;Monza;1;0;Serie A
30.03.2024;Lazio;Juventus;1;0;Serie A
30.03.2024;Fiorentina;Milan;1;2;Serie A
01.04.2024;Bologna;Salernitana;3;0;Serie A
01.04.2024;Cagliari;Hellas Verona;1;1;Serie A
01.04.2024;Sassuolo;Udinese;1;1;Serie A
01.04.2024;Lecce;Roma;0;0;Serie A
01.04.2024;Inter;Empoli;2;0;Serie A
15.03.2024;Empoli;Bologna;0;1;Serie A
16.03.2024;Monza;Cagliari;1;0;Serie A
16.03.2024;Udinese;Torino;0;2;Serie A
16.03.2024;Salernitana;Lecce;0;1;Serie A
16.03.2024;Frosinone;Lazio;2;3;Serie A
17.03.2024;Juventus;Genoa;0;0;Serie A
17.03.2024;Hellas Verona;Milan;1;3;Serie A
17.03.2024;Roma;Sassuolo;1;0;Serie A
17.03.2024;Inter;Napoli;1;1;Serie A
02.06.2024;Atalanta;Fiorentina;2;3;Serie A
08.03.2024;Napoli;Torino;1;1;Serie A
09.03.2024;Cagliari;Salernitana;4;2;Serie A
09.03.2024;Sassuolo;Frosinone;1;0;Serie A
09.03.2024;Bologna;Inter;0;1;Serie A
09.03.2024;Genoa;Monza;2;3;Serie A
10.03.2024;Lecce;Hellas Verona;0;1;Serie A
10.03.2024;Milan;Empoli;1;0;Serie A
10.03.2024;Juventus;Atalanta;2;2;Serie A
10.03.2024;Fiorentina;Roma;2;2;Serie A
11.03.2024;Lazio;Udinese;1;2;Serie A
01.03.2024;Lazio;Milan;0;1;Serie A
02.03.2024;Udinese;Salernitana;1;1;Serie A
02.03.2024;Monza;Roma;1;4;Serie A
02.03.2024;Torino;Fiorentina;0;0;Serie A
03.03.2024;Hellas Verona;Sassuolo;1;0;Serie A
03.03.2024;Empoli;Cagliari;0;1;Serie A
03.03.2024;Frosinone;Lecce;1;1;Serie A
03.03.2024;Atalanta;Bologna;1;2;Serie A
03.03.2024;Napoli;Juventus;2;1;Serie A
04.03.2024;Inter;Genoa;2;1;Serie A
23.02.2024;Bologna;Hellas Verona;2;0;Serie A
24.02.2024;Sassuolo;Empoli;2;3;Serie A
24.02.2024;Salernitana;Monza;0;2;Serie A
24.02.2024;Genoa;Udinese;2;0;Serie A
25.02.2024;Juventus;Frosinone;3;2;Serie A
25.02.2024;Cagliari;Napoli;1;1;Serie A
25.02.2024;Lecce;Inter;0;4;Serie A
25.02.2024;Milan;Atalanta;1;1;Serie A
26.02.2024;Roma;Torino;3;2;Serie A
26.02.2024;Fiorentina;Lazio;2;1;Serie A
16.02.2024;Torino;Lecce;2;0;Serie A
16.02.2024;Inter;Salernitana;4;0;Serie A
17.02.2024;Napoli;Genoa;1;1;Serie A
17.02.2024;Hellas Verona;Juventus;2;2;Serie A
17.02.2024;Atalanta;Sassuolo;3;0;Serie A
18.02.2024;Lazio;Bologna;1;2;Serie A
18.02.2024;Empoli;Fiorentina;1;1;Serie A
18.02.2024;Udinese;Cagliari;1;1;Serie A
18.02.2024;Frosinone;Roma;0;3;Serie A
18.02.2024;Monza;Milan;4;2;Serie A
09.02.2024;Salernitana;Empoli;1;3;Serie A
10.02.2024;Cagliari;Lazio;1;3;Serie A
10.02.2024;Roma;Inter;2;4;Serie A
10.02.2024;Sassuolo;Torino;1;1;Serie A
11.02.2024;Fiorentina;Frosinone;5;1;Serie A
11.02.2024;Bologna;Lecce;4;0;Serie A
11.02.2024;Monza;Hellas Verona;0;0;Serie A
11.02.2024;Genoa;Atalanta;1;4;Serie A
11.02.2024;Milan;Napoli;1;0;Serie A
12.02.2024;Juventus;Udinese;0;1;Serie A
02.02.2024;Lecce;Fiorentina;3;2;Serie A
03.02.2024;Empoli;Genoa;0;0;Serie A
03.02.2024;Udinese;Monza;0;0;Serie A
03.02.2024;Frosinone;Milan;2;3;Serie A
03.02.2024;Bologna;Sassuolo;4;2;Serie A
04.02.2024;Torino;Salernitana;0;0;Serie A
04.02.2024;Napoli;Hellas Verona;2;1;Serie A
04.02.2024;Atalanta;Lazio;3;1;Serie A
04.02.2024;Inter;Juventus;1;0;Serie A
05.02.2024;Roma;Cagliari;4;0;Serie A
26.01.2024;Cagliari;Torino;1;2;Serie A
27.01.2024;Atalanta;Udinese;2;0;Serie A
27.01.2024;Juventus;Empoli;1;1;Serie A
27.01.2024;Milan;Bologna;2;2;Serie A
28.01.2024;Genoa;Lecce;2;1;Serie A
28.01.2024;Hellas Verona;Frosinone;1;1;Serie A
28.01.2024;Monza;Sassuolo;1;0;Serie A
28.01.2024;Lazio;Napoli;0;0;Serie A
28.01.2024;Fiorentina;Inter;0;1;Serie A
29.01.2024;Salernitana;Roma;1;2;Serie A
20.01.2024;Roma;Hellas Verona;2;1;Serie A
20.01.2024;Udinese;Milan;2;3;Serie A
21.01.2024;Frosinone;Cagliari;3;1;Serie A
21.01.2024;Empoli;Monza;3;0;Serie A
21.01.2024;Salernitana;Genoa;1;2;Serie A
21.01.2024;Lecce;Juventus;0;3;Serie A
14.02.2024;Bologna;Fiorentina;2;0;Serie A
22.02.2024;Torino;Lazio;0;2;Serie A
28.02.2024;Sassuolo;Napoli;1;6;Serie A
28.02.2024;Inter;Atalanta;4;0;Serie A
13.01.2024;Genoa;Torino;0;0;Serie A
13.01.2024;Napoli;Salernitana;2;1;Serie A
13.01.2024;Hellas Verona;Empoli;2;1;Serie A
13.01.2024;Monza;Inter;1;5;Serie A
14.01.2024;Lazio;Lecce;1;0;Serie A
14.01.2024;Cagliari;Bologna;2;1;Serie A
14.01.2024;Fiorentina;Udinese;2;2;Serie A
14.01.2024;Milan;Roma;3;1;Serie A
15.01.2024;Atalanta;Frosinone;5;0;Serie A
16.01.2024;Juventus;Sassuolo;3;0;Serie A
05.01.2024;Bologna;Genoa;1;1;Serie A
06.01.2024;Inter;Hellas Verona;2;1;Serie A
06.01.2024;Frosinone;Monza;2;3;Serie A
06.01.2024;Lecce;Cagliari;1;1;Serie A
06.01.2024;Sassuolo;Fiorentina;1;0;Serie A
07.01.2024;Empoli;Milan;0;3;Serie A
07.01.2024;Torino;Napoli;3;0;Serie A
07.01.2024;Udinese;Lazio;1;2;Serie A
07.01.2024;Salernitana;Juventus;1;2;Serie A
07.01.2024;Roma;Atalanta;1;1;Serie A
29.12.2023;Fiorentina;Torino;1;0;Serie A
29.12.2023;Napoli;Monza;0;0;Serie A
29.12.2023;Genoa;Inter;1;1;Serie A
29.12.2023;Lazio;Frosinone;3;1;Serie A
30.12.2023;Atalanta;Lecce;1;0;Serie A
30.12.2023;Cagliari;Empoli;0;0;Serie A
30.12.2023;Udinese;Bologna;3;0;Serie A
30.12.2023;Hellas Verona;Salernitana;0;1;Serie A
30.12.2023;Milan;Sassuolo;1;0;Serie A
30.12.2023;Juventus;Roma;1;0;Serie A
22.12.2023;Empoli;Lazio;0;2;Serie A
22.12.2023;Sassuolo;Genoa;1;2;Serie A
22.12.2023;Monza;Fiorentina;0;1;Serie A
22.12.2023;Salernitana;Milan;2;2;Serie A
23.12.2023;Frosinone;Juventus;1;2;Serie A
23.12.2023;Bologna;Atalanta;1;0;Serie A
23.12.2023;Torino;Udinese;1;1;Serie A
23.12.2023;Hellas Verona;Cagliari;2;0;Serie A
23.12.2023;Inter;Lecce;2;0;Serie A
23.12.2023;Roma;Napoli;2;0;Serie A
15.12.2023;Genoa;Juventus;1;1;Serie A
16.12.2023;Lecce;Frosinone;2;1;Serie A
16.12.2023;Napoli;Cagliari;2;1;Serie A
16.12.2023;Torino;Empoli;1;0;Serie A
17.12.2023;Milan;Monza;3;0;Serie A
17.12.2023;Fiorentina;Hellas Verona;1;0;Serie A
17.12.2023;Udinese;Sassuolo;2;2;Serie A
17.12.2023;Bologna;Roma;2;0;Serie A
17.12.2023;Lazio;Inter;0;2;Serie A
18.12.2023;Atalanta;Salernitana;4;1;Serie A
08.12.2023;Juventus;Napoli;1;0;Serie A
09.12.2023;Hellas Verona;Lazio;1;1;Serie A
09.12.2023;Atalanta;Milan;3;2;Serie A
09.12.2023;Inter;Udinese;4;0;Serie A
10.12.2023;Frosinone;Torino;0;0;Serie A
10.12.2023;Monza;Genoa;1;0;Serie A
10.12.2023;Salernitana;Bologna;1;2;Serie A
10.12.2023;Roma;Fiorentina;1;1;Serie A
11.12.2023;Empoli;Lecce;1;1;Serie A
11.12.2023;Cagliari;Sassuolo;2;1;Serie A
01.12.2023;Monza;Juventus;1;2;Serie A
02.12.2023;Genoa;Empoli;1;1;Serie A
02.12.2023;Lazio;Cagliari;1;0;Serie A
02.12.2023;Milan;Frosinone;3;1;Serie A
03.12.2023;Lecce;Bologna;1;1;Serie A
03.12.2023;Fiorentina;Salernitana;3;0;Serie A
03.12.2023;Udinese;Hellas Verona;3;3;Serie A
03.12.2023;Sassuolo;Roma;1;2;Serie A
03.12.2023;Napoli;Inter;0;3;Serie A
04.12.2023;Torino;Atalanta;3;0;Serie A
25.11.2023;Salernitana;Lazio;2;1;Serie A
25.11.2023;Atalanta;Napoli;1;2;Serie A
25.11.2023;Milan;Fiorentina;1;0;Serie A
26.11.2023;Cagliari;Monza;1;1;Serie A
26.11.2023;Empoli;Sassuolo;3;4;Serie A
26.11.2023;Frosinone;Genoa;2;1;Serie A
26.11.2023;Roma;Udinese;3;1;Serie A
26.11.2023;Juventus;Inter;1;1;Serie A
27.11.2023;Hellas Verona;Lecce;2;2;Serie A
27.11.2023;Bologna;Torino;2;0;Serie A
10.11.2023;Sassuolo;Salernitana;2;2;Serie A
10.11.2023;Genoa;Hellas Verona;1;0;Serie A
11.11.2023;Lecce;Milan;2;2;Serie A
11.11.2023;Juventus;Cagliari;2;1;Serie A
11.11.2023;Monza;Torino;1;1;Serie A
12.11.2023;Napoli;Empoli;0;1;Serie A
12.11.2023;Fiorentina;Bologna;2;1;Serie A
12.11.2023;Udinese;Atalanta;1;1;Serie A
12.11.2023;Lazio;Roma;0;0;Serie A
12.11.2023;Inter;Frosinone;2;0;Serie A
03.11.2023;Bologna;Lazio;1;0;Serie A
04.11.2023;Salernitana;Napoli;0;2;Serie A
04.11.2023;Atalanta;Inter;1;2;Serie A
04.11.2023;Milan;Udinese;0;1;Serie A
05.11.2023;Hellas Verona;Monza;1;3;Serie A
05.11.2023;Cagliari;Genoa;2;1;Serie A
05.11.2023;Roma;Lecce;2;1;Serie A
05.11.2023;Fiorentina;Juventus;0;1;Serie A
06.11.2023;Frosinone;Empoli;2;1;Serie A
06.11.2023;Torino;Sassuolo;2;1;Serie A
27.10.2023;Genoa;Salernitana;1;0;Serie A
28.10.2023;Sassuolo;Bologna;1;1;Serie A
28.10.2023;Lecce;Torino;0;1;Serie A
28.10.2023;Juventus;Hellas Verona;1;0;Serie A
29.10.2023;Cagliari;Frosinone;4;3;Serie A
29.10.2023;Monza;Udinese;1;1;Serie A
29.10.2023;Inter;Roma;1;0;Serie A
29.10.2023;Napoli;Milan;2;2;Serie A
30.10.2023;Empoli;Atalanta;0;3;Serie A
30.10.2023;Lazio;Fiorentina;1;0;Serie A
21.10.2023;Hellas Verona;Napoli;1;3;Serie A
21.10.2023;Torino;Inter;0;3;Serie A
21.10.2023;Sassuolo;Lazio;0;2;Serie A
22.10.2023;Roma;Monza;1;0;Serie A
22.10.2023;Bologna;Frosinone;2;1;Serie A
22.10.2023;Salernitana;Cagliari;2;2;Serie A
22.10.2023;Atalanta;Genoa;2;0;Serie A
22.10.2023;Milan;Juventus;0;1;Serie A
23.10.2023;Udinese;Lecce;1;1;Serie A
23.10.2023;Fiorentina;Empoli;0;2;Serie A
06.10.2023;Empoli;Udinese;0;0;Serie A
06.10.2023;Lecce;Sassuolo;1;1;Serie A
07.10.2023;Inter;Bologna;2;2;Serie A
07.10.2023;Juventus;Torino;2;0;Serie A
07.10.2023;Genoa;Milan;0;1;Serie A
08.10.2023;Monza;Salernitana;3;0;Serie A
08.10.2023;Frosinone;Hellas Verona;2;1;Serie A
08.10.2023;Lazio;Atalanta;3;2;Serie A
08.10.2023;Cagliari;Roma;1;4;Serie A
08.10.2023;Napoli;Fiorentina;1;3;Serie A
30.09.2023;Lecce;Napoli;0;4;Serie A
30.09.2023;Milan;Lazio;2;0;Serie A
30.09.2023;Salernitana;Inter;0;4;Serie A
01.10.2023;Bologna;Empoli;3;0;Serie A
01.10.2023;Udinese;Genoa;2;2;Serie A
01.10.2023;Atalanta;Juventus;0;0;Serie A
01.10.2023;Roma;Frosinone;2;0;Serie A
02.10.2023;Sassuolo;Monza;0;1;Serie A
02.10.2023;Torino;Hellas Verona;0;0;Serie A
02.10.2023;Fiorentina;Cagliari;3;0;Serie A
26.09.2023;Juventus;Lecce;1;0;Serie A
27.09.2023;Cagliari;Milan;1;3;Serie A
27.09.2023;Empoli;Salernitana;1;0;Serie A
27.09.2023;Hellas Verona;Atalanta;0;1;Serie A
27.09.2023;Inter;Sassuolo;1;2;Serie A
27.09.2023;Lazio;Torino;2;0;Serie A
27.09.2023;Napoli;Udinese;4;1;Serie A
28.09.2023;Frosinone;Fiorentina;1;1;Serie A
28.09.2023;Monza;Bologna;0;0;Serie A
28.09.2023;Genoa;Roma;4;1;Serie A
22.09.2023;Salernitana;Frosinone;1;1;Serie A
22.09.2023;Lecce;Genoa;1;0;Serie A
23.09.2023;Milan;Hellas Verona;1;0;Serie A
23.09.2023;Sassuolo;Juventus;4;2;Serie A
23.09.2023;Lazio;Monza;1;1;Serie A
24.09.2023;Empoli;Inter;0;1;Serie A
24.09.2023;Atalanta;Cagliari;2;0;Serie A
24.09.2023;Udinese;Fiorentina;0;2;Serie A
24.09.2023;Bologna;Napoli;0;0;Serie A
24.09.2023;Torino;Roma;1;1;Serie A
16.09.2023;Juventus;Lazio;3;1;Serie A
16.09.2023;Inter;Milan;5;1;Serie A
16.09.2023;Genoa;Napoli;2;2;Serie A
17.09.2023;Cagliari;Udinese;0;0;Serie A
17.09.2023;Frosinone;Sassuolo;4;2;Serie A
17.09.2023;Monza;Lecce;1;1;Serie A
17.09.2023;Fiorentina;Atalanta;3;2;Serie A
17.09.2023;Roma;Empoli;7;0;Serie A
18.09.2023;Salernitana;Torino;0;3;Serie A
18.09.2023;Hellas Verona;Bologna;0;0;Serie A
01.09.2023;Sassuolo;Hellas Verona;3;1;Serie A
01.09.2023;Roma;Milan;1;2;Serie A
02.09.2023;Bologna;Cagliari;2;1;Serie A
02.09.2023;Udinese;Frosinone;0;0;Serie A
02.09.2023;Atalanta;Monza;3;0;Serie A
02.09.2023;Napoli;Lazio;1;2;Serie A
03.09.2023;Inter;Fiorentina;4;0;Serie A
03.09.2023;Torino;Genoa;1;0;Serie A
03.09.2023;Empoli;Juventus;0;2;Serie A
03.09.2023;Lecce;Salernitana;2;0;Serie A
26.08.2023;Frosinone;Atalanta;2;1;Serie A
26.08.2023;Monza;Empoli;2;0;Serie A
26.08.2023;Hellas Verona;Roma;2;1;Serie A
26.08.2023;Milan;Torino;4;1;Serie A
27.08.2023;Fiorentina;Lecce;2;2;Serie A
27.08.2023;Juventus;Bologna;1;1;Serie A
27.08.2023;Lazio;Genoa;0;1;Serie A
27.08.2023;Napoli;Sassuolo;2;0;Serie A
28.08.2023;Salernitana;Udinese;1;1;Serie A
28.08.2023;Cagliari;Inter;0;2;Serie A
19.08.2023;Empoli;Hellas Verona;0;1;Serie A
19.08.2023;Frosinone;Napoli;1;3;Serie A
19.08.2023;Genoa;Fiorentina;1;4;Serie A
19.08.2023;Inter;Monza;2;0;Serie A
20.08.2023;Roma;Salernitana;2;2;Serie A
20.08.2023;Sassuolo;Atalanta;0;2;Serie A
20.08.2023;Lecce;Lazio;2;1;Serie A
20.08.2023;Udinese;Juventus;0;3;Serie A
21.08.2023;Torino;Cagliari;0;0;Serie A
21.08.2023;Bologna;Milan;0;2;Serie A
